type,departure_date,arrival_date,comment,city,country,place_name,latitude,longitude,from_city,from_country,from_place_name,from_lat,from_lng
flight,2024-01-05T08:00,2024-01-05T11:30,New year trip to London,London,United Kingdom,"London, England, United Kingdom",51.5074,-0.1278,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564
hotel,2024-01-05T14:00,2024-01-08T11:00,Staying in Shoreditch,London,United Kingdom,"London, England, United Kingdom",51.5074,-0.1278,,,,,
flight,2024-01-08T13:00,2024-01-08T17:30,Heading back home,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564,London,United Kingdom,"London, England, United Kingdom",51.5074,-0.1278
flight,2024-02-14T07:00,2024-02-14T10:15,Valentine's weekend,Vienna,Austria,"Vienna, Austria",48.2082,16.3738,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564
hotel,2024-02-14T12:00,2024-02-16T10:00,Romantic stay,Vienna,Austria,"Vienna, Austria",48.2082,16.3738,,,,,
flight,2024-02-16T12:00,2024-02-16T15:00,Back from Vienna,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564,Vienna,Austria,"Vienna, Austria",48.2082,16.3738
flight,2024-03-10T06:00,2024-03-10T14:00,Spring break NYC,New York,United States,"New York, NY, United States",40.7128,-74.0060,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564
hotel,2024-03-10T17:00,2024-03-15T11:00,NYC spring break,New York,United States,"New York, NY, United States",40.7128,-74.0060,,,,,
flight,2024-03-15T13:00,2024-03-16T08:00,Back home from NYC,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564,New York,United States,"New York, NY, United States",40.7128,-74.0060
rail,2024-04-01T09:00,2024-04-01T12:30,Day trip to Budapest,Budapest,Hungary,"Budapest, Hungary",47.4979,19.0402,Vienna,Austria,"Vienna, Austria",48.2082,16.3738
hotel,2024-04-01T14:00,2024-04-03T10:00,Budapest stay,Budapest,Hungary,"Budapest, Hungary",47.4979,19.0402,,,,,
rail,2024-04-03T11:00,2024-04-03T14:30,Back to Vienna,Vienna,Austria,"Vienna, Austria",48.2082,16.3738,Budapest,Hungary,"Budapest, Hungary",47.4979,19.0402
flight,2024-04-20T08:30,2024-04-20T10:00,Quick trip to Zagreb,Zagreb,Croatia,"Zagreb, Croatia",45.8150,15.9819,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564
car,2024-04-20T11:00,2024-04-20T14:00,Road trip to the lakes,Plitvice Lakes,Croatia,"Plitvice Lakes, Croatia",44.8654,15.5820,,,,,
hotel,2024-04-20T15:00,2024-04-22T10:00,Nature retreat,Plitvice Lakes,Croatia,"Plitvice Lakes, Croatia",44.8654,15.5820,,,,,
car,2024-04-22T11:00,2024-04-22T14:30,Drive down the coast,Dubrovnik,Croatia,"Dubrovnik, Croatia",42.6507,18.0944,,,,,
hotel,2024-04-22T16:00,2024-04-25T10:00,Adriatic coast,Dubrovnik,Croatia,"Dubrovnik, Croatia",42.6507,18.0944,,,,,
flight,2024-04-25T13:00,2024-04-25T14:30,Home from Dubrovnik,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564,Dubrovnik,Croatia,"Dubrovnik, Croatia",42.6507,18.0944
flight,2024-05-15T07:00,2024-05-15T10:30,Spain holiday,Barcelona,Spain,"Barcelona, Catalonia, Spain",41.3851,2.1734,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564
hotel,2024-05-15T13:00,2024-05-19T11:00,Beachside hotel,Barcelona,Spain,"Barcelona, Catalonia, Spain",41.3851,2.1734,,,,,
car,2024-05-19T12:00,2024-05-19T14:00,Day trip to Montserrat,Montserrat,Spain,"Montserrat, Catalonia, Spain",41.5930,1.8367,,,,,
flight,2024-05-20T16:00,2024-05-20T20:00,End of Spain trip,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564,Barcelona,Spain,"Barcelona, Catalonia, Spain",41.3851,2.1734
flight,2024-06-01T06:30,2024-06-01T18:00,Summer trip to Japan,Tokyo,Japan,"Tokyo, Japan",35.6762,139.6503,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564
hotel,2024-06-01T21:00,2024-06-05T10:00,Tokyo luxury stay,Tokyo,Japan,"Tokyo, Japan",35.6762,139.6503,,,,,
rail,2024-06-05T09:00,2024-06-05T11:15,Shinkansen to Kyoto,Kyoto,Japan,"Kyoto, Japan",35.0116,135.7681,Tokyo,Japan,"Tokyo, Japan",35.6762,139.6503
hotel,2024-06-05T13:00,2024-06-08T10:00,Kyoto ryokan,Kyoto,Japan,"Kyoto, Japan",35.0116,135.7681,,,,,
rail,2024-06-08T10:30,2024-06-08T11:30,Osaka day trip,Osaka,Japan,"Osaka, Japan",34.6937,135.5023,Kyoto,Japan,"Kyoto, Japan",35.0116,135.7681
hotel,2024-06-08T14:00,2024-06-10T11:00,Osaka stay,Osaka,Japan,"Osaka, Japan",34.6937,135.5023,,,,,
flight,2024-06-10T14:00,2024-06-11T06:00,Back from Japan,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564,Tokyo,Japan,"Tokyo, Japan",35.6762,139.6503
flight,2024-07-04T08:00,2024-07-04T12:00,Summer in Amsterdam,Amsterdam,Netherlands,"Amsterdam, Netherlands",52.3676,4.9041,Sarajevo,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8476,18.3564
hotel,2024-07-04T14:00,2024-07-07T11:00,Amsterdam canal stay,Amsterdam,Netherlands,"Amsterdam, Netherlands",52.3676,4.9041,,,,,
car,2024-07-07T12:00,2024-07-07T14:30,Drive to Rotterdam,Rotterdam,Netherlands,"Rotterdam, Netherlands",51.9244,4.4777,,,,,
hotel,2024-07-07T16:00,2024-07-09T10:00,Modern hotel,Rotterdam,Netherlands,"Rotterdam, Netherlands",51.9244,4.4777,,,,,
